Ship Mode-Same Day,Ship Mode-Standard Class,Ship Mode-First Class,Ship Mode-Second Class,Segment-Consumer,Segment-Corporate,Segment-Home Office,Region-Central,Region-East,Region-South,Region-West,Category-Furniture,Category-Office Supplies,Category-Technology,Sales,Quantity,Discount,Profit,Mean,Median,Cost,Cost_Per_Unit,Profit_Per_Unit,Profit_Margin
0,0,0,1,1,0,0,0,0,1,0,0,1,0,8.75,1,0,2.625,45524,30487,6.125,6.125,2.625,0.3
0,0,0,1,1,0,0,0,0,1,0,1,0,0,842.94,3,0,160.1586,45524,30487,682.7814,227.5938,53.3862,0.19
0,1,0,0,0,0,1,0,0,1,0,1,0,0,27.58,2,0,11.5836,45524,30487,15.9964,7.9982,5.7918,0.42
0,0,0,1,0,1,0,0,0,1,0,0,1,0,5.32,2,0,2.6068,45524,30487,2.7132,1.3566,1.3034,0.49
0,0,0,1,0,1,0,0,0,1,0,1,0,0,975.92,4,0,292.776,45524,30487,683.144,170.786,73.194,0.3
0,0,0,1,0,1,0,0,0,1,0,0,0,1,2249.91,9,0,517.4793,45524,30487,1732.4307,192.4923,57.4977,0.23
0,0,0,1,0,1,0,0,0,1,0,0,1,0,59.92,4,0,16.7776,45524,30487,43.1424,10.7856,4.1944,0.28
0,1,0,0,1,0,0,0,0,1,0,0,1,0,106.32,3,0,49.9704,45524,30487,56.3496,18.7832,16.6568,0.47
0,1,0,0,1,0,0,0,0,1,0,0,1,0,163.44,3,0,45.7632,45524,30487,117.6768,39.2256,15.2544,0.28
0,1,0,0,1,0,0,0,0,1,0,0,1,0,42.76,2,0,11.1176,45524,30487,31.6424,15.8212,5.5588,0.26
0,1,0,0,1,0,0,0,0,1,0,0,1,0,51.55,5,0,24.2285,45524,30487,27.3215,5.4643,4.8457,0.47
0,1,0,0,0,0,1,0,0,1,0,1,0,0,2573.82,9,0,746.4078,45524,30487,1827.4122,203.0458,82.9342,0.29
0,1,0,0,0,0,1,0,0,1,0,0,1,0,609.98,2,0,274.491,45524,30487,335.489,167.7445,137.2455,0.45
0,1,0,0,0,0,1,0,0,1,0,0,1,0,5.48,2,0,1.4796,45524,30487,4.0004,2.0002,0.7398,0.27
0,1,0,0,0,0,1,0,0,1,0,0,0,1,391.98,2,0,113.6742,45524,30487,278.3058,139.1529,56.8371,0.29
0,1,0,0,0,0,1,0,0,1,0,0,0,1,755.96,4,0,204.1092,45524,30487,551.8508,137.9627,51.0273,0.27
0,1,0,0,0,0,1,0,0,1,0,0,1,0,31.12,4,0,0.3112,45524,30487,30.8088,7.7022,0.0778,0.01
0,1,0,0,0,0,1,0,0,1,0,0,1,0,6.54,1,0,3.0084,45524,30487,3.5316,3.5316,3.0084,0.46
0,0,0,1,0,1,0,0,0,1,0,0,1,0,12.39,3,0,5.8233,45524,30487,6.5667,2.1889,1.9411,0.47
0,1,0,0,0,1,0,0,0,1,0,0,1,0,828.84,6,0,0,45524,30487,828.84,138.14,0,0
0,1,0,0,1,0,0,0,0,1,0,1,0,0,318.08,4,0,34.9888,45524,30487,283.0912,70.7728,8.7472,0.11
0,1,0,0,1,0,0,0,0,1,0,0,1,0,5.8,1,0,2.61,45524,30487,3.19,3.19,2.61,0.45
0,1,0,0,1,0,0,0,0,1,0,0,1,0,1577.94,3,0,757.4112,45524,30487,820.5288,273.5096,252.4704,0.48
0,0,0,1,0,1,0,0,0,0,1,0,1,0,14.62,2,0,6.8714,99339.6,112068,7.7486,3.8743,3.4357,0.47
0,1,0,0,0,1,0,0,0,0,1,0,1,0,20.1,3,0,6.633,99339.6,112068,13.467,4.489,2.211,0.33
0,1,0,0,0,1,0,0,0,0,1,0,0,1,73.584,2,0.2,8.2782,99339.6,112068,65.3058,32.6529,4.1391,0.1125
0,1,0,0,0,1,0,0,0,0,1,0,1,0,6.48,1,0,3.1104,99339.6,112068,3.3696,3.3696,3.1104,0.48
0,0,0,1,0,1,0,0,0,0,1,1,0,0,190.72,1,0.2,11.92,99339.6,112068,178.8,178.8,11.92,0.0625
0,1,0,0,1,0,0,0,0,0,1,0,0,1,166.24,1,0,24.936,99339.6,112068,141.304,141.304,24.936,0.15
0,1,0,0,1,0,0,0,0,0,1,0,1,0,33.4,5,0,16.032,99339.6,112068,17.368,3.4736,3.2064,0.48
0,1,0,0,1,0,0,0,0,0,1,1,0,0,79.92,4,0,28.7712,99339.6,112068,51.1488,12.7872,7.1928,0.36
0,0,1,0,0,1,0,0,0,0,1,0,1,0,37.44,4,0.2,11.7,99339.6,112068,25.74,6.435,2.925,0.3125
0,0,1,0,0,1,0,0,0,0,1,0,1,0,26.976,4,0.2,8.7672,99339.6,112068,18.2088,4.5522,2.1918,0.325
0,0,1,0,0,1,0,0,0,0,1,0,1,0,11.36,2,0,3.2944,99339.6,112068,8.0656,4.0328,1.6472,0.29
0,0,1,0,0,1,0,0,0,0,1,0,1,0,14.62,2,0,6.8714,99339.6,112068,7.7486,3.8743,3.4357,0.47
0,0,0,1,0,0,1,0,0,0,1,0,1,0,32.4,5,0,15.552,99339.6,112068,16.848,3.3696,3.1104,0.48
0,0,0,1,0,0,1,0,0,0,1,0,1,0,81.92,4,0,22.1184,99339.6,112068,59.8016,14.9504,5.5296,0.27
0,0,0,1,0,0,1,0,0,0,1,0,0,1,889.536,8,0.2,66.7152,99339.6,112068,822.8208,102.8526,8.3394,0.075
0,0,0,1,0,0,1,0,0,0,1,1,0,0,892.224,3,0.2,89.2224,99339.6,112068,803.0016,267.6672,29.7408,0.1
0,0,0,1,0,0,1,0,0,0,1,0,1,0,223.92,4,0,109.7208,99339.6,112068,114.1992,28.5498,27.4302,0.49
0,0,0,1,0,0,1,0,0,0,1,0,1,0,23.12,4,0,11.3288,99339.6,112068,11.7912,2.9478,2.8322,0.49
0,1,0,0,0,0,1,0,0,0,1,0,1,0,249.75,9,0,44.955,99339.6,112068,204.795,22.755,4.995,0.18
0,1,0,0,0,0,1,0,0,0,1,0,0,1,255.936,8,0.2,28.7928,99339.6,112068,227.1432,28.3929,3.5991,0.1125
0,0,1,0,1,0,0,0,0,0,1,1,0,0,8.36,2,0,3.0096,99339.6,112068,5.3504,2.6752,1.5048,0.36
0,0,0,1,1,0,0,0,0,0,1,0,1,0,9.96,2,0,4.5816,99339.6,112068,5.3784,2.6892,2.2908,0.46
0,0,0,1,0,1,0,0,0,0,1,1,0,0,143.432,1,0.2,3.5858,99339.6,112068,139.8462,139.8462,3.5858,0.025
0,0,0,1,0,1,0,0,0,0,1,1,0,0,122.352,3,0.2,13.7646,99339.6,112068,108.5874,36.1958,4.5882,0.1125
0,0,0,1,0,1,0,0,0,0,1,0,1,0,7.52,5,0.2,2.632,99339.6,112068,4.888,0.9776,0.5264,0.35
0,0,0,1,0,1,0,0,0,0,1,1,0,0,1322.352,3,0.2,-99.1764,99339.6,112068,1421.5284,473.8428,-33.0588,-0.075
0,0,1,0,0,0,1,0,0,0,1,1,0,0,601.536,4,0.2,0,99339.6,112068,601.536,150.384,0,0
0,0,1,0,0,0,1,0,0,0,1,0,1,0,7.9,2,0,2.528,99339.6,112068,5.372,2.686,1.264,0.32
0,1,0,0,1,0,0,0,0,0,1,0,1,0,10.89,1,0,2.8314,99339.6,112068,8.0586,8.0586,2.8314,0.26
0,1,0,0,1,0,0,0,0,0,1,0,1,0,19.44,3,0,9.3312,99339.6,112068,10.1088,3.3696,3.1104,0.48
0,1,0,0,1,0,0,0,0,0,1,0,1,0,121.6,5,0.2,39.52,99339.6,112068,82.08,16.416,7.904,0.325
0,1,0,0,1,0,0,0,0,0,1,0,1,0,4.26,1,0,1.7466,99339.6,112068,2.5134,2.5134,1.7466,0.41
0,1,0,0,0,0,1,0,0,0,1,1,0,0,513.024,2,0.2,12.8256,99339.6,112068,500.1984,250.0992,6.4128,0.025
0,1,0,0,0,0,1,0,0,0,1,0,1,0,487.92,6,0,136.6176,99339.6,112068,351.3024,58.5504,22.7696,0.28
0,1,0,0,0,0,1,0,0,0,1,0,1,0,15.24,5,0.2,5.334,99339.6,112068,9.906,1.9812,1.0668,0.35
0,0,0,1,1,0,0,0,0,0,1,0,1,0,330.4,2,0,85.904,99339.6,112068,244.496,122.248,42.952,0.26
0,0,0,1,1,0,0,0,0,0,1,0,0,1,604.752,6,0.2,37.797,99339.6,112068,566.955,94.4925,6.2995,0.0625
0,1,0,0,0,1,0,0,0,0,1,0,0,1,659.9,2,0,217.767,99339.6,112068,442.133,221.0665,108.8835,0.33
0,1,0,0,0,1,0,0,0,0,1,1,0,0,1684.752,6,0.2,210.594,99339.6,112068,1474.158,245.693,35.099,0.125
0,1,0,0,0,1,0,0,0,0,1,0,0,1,559.92,8,0,190.3728,99339.6,112068,369.5472,46.1934,23.7966,0.34
0,0,0,1,1,0,0,0,0,0,1,0,1,0,17.34,3,0,8.4966,99339.6,112068,8.8434,2.9478,2.8322,0.49
0,1,0,0,1,0,0,0,0,0,1,0,1,0,53.82,9,0,24.219,99339.6,112068,29.601,3.289,2.691,0.45
0,1,0,0,1,0,0,0,0,0,1,1,0,0,474.43,11,0,199.2606,99339.6,112068,275.1694,25.0154,18.1146,0.42
0,1,0,0,1,0,0,0,0,0,1,0,1,0,3.168,2,0.2,0.99,99339.6,112068,2.178,1.089,0.495,0.3125
0,1,0,0,1,0,0,0,0,0,1,0,1,0,19.44,3,0,9.3312,99339.6,112068,10.1088,3.3696,3.1104,0.48
0,1,0,0,1,0,0,0,0,0,1,0,1,0,454.86,7,0,54.5832,99339.6,112068,400.2768,57.1824,7.7976,0.12
0,1,0,0,1,0,0,0,0,0,1,0,1,0,91.392,8,0.2,29.7024,99339.6,112068,61.6896,7.7112,3.7128,0.325
0,1,0,0,0,0,1,0,0,0,1,0,1,0,112.12,5,0.2,42.045,99339.6,112068,70.075,14.015,8.409,0.375
0,1,0,0,0,0,1,0,0,0,1,0,1,0,1575.14,7,0,204.7682,99339.6,112068,1370.3718,195.7674,29.2526,0.13
0,1,0,0,0,1,0,0,0,0,1,0,0,1,66.3,3,0,8.619,99339.6,112068,57.681,19.227,2.873,0.13
0,1,0,0,1,0,0,0,0,0,1,1,0,0,171.288,3,0.2,-6.4233,99339.6,112068,177.7113,59.2371,-2.1411,-0.0375
0,1,0,0,0,0,1,0,0,0,1,0,0,1,479.984,2,0.2,89.997,99339.6,112068,389.987,194.9935,44.9985,0.1875
0,1,0,0,0,1,0,0,0,0,1,1,0,0,43.13,1,0,18.1146,99339.6,112068,25.0154,25.0154,18.1146,0.42
0,0,1,0,0,1,0,0,0,0,1,0,1,0,14.016,4,0.2,4.9056,99339.6,112068,9.1104,2.2776,1.2264,0.35
0,0,0,1,1,0,0,0,0,0,1,0,1,0,67.71,3,0,32.5008,99339.6,112068,35.2092,11.7364,10.8336,0.48
0,0,0,1,1,0,0,0,0,0,1,0,1,0,129.92,4,0,38.976,99339.6,112068,90.944,22.736,9.744,0.3
0,0,0,1,1,0,0,0,0,0,1,1,0,0,467.46,9,0,191.6586,99339.6,112068,275.8014,30.6446,21.2954,0.41
0,0,0,1,1,0,0,0,0,0,1,0,1,0,61.4,5,0,28.858,99339.6,112068,32.542,6.5084,5.7716,0.47
0,0,0,1,1,0,0,0,0,0,1,0,1,0,720.76,4,0,187.3976,99339.6,112068,533.3624,133.3406,46.8494,0.26
0,0,0,1,1,0,0,0,0,0,1,0,1,0,5.184,3,0.2,1.8144,99339.6,112068,3.3696,1.1232,0.6048,0.35
0,0,0,1,1,0,0,0,0,0,1,0,1,0,14.7,5,0,3.969,99339.6,112068,10.731,2.1462,0.7938,0.27
0,1,0,0,0,1,0,0,0,0,1,1,0,0,37.68,2,0,15.8256,99339.6,112068,21.8544,10.9272,7.9128,0.42
0,1,0,0,0,1,0,0,0,0,1,0,0,1,258.576,2,0.2,19.3932,99339.6,112068,239.1828,119.5914,9.6966,0.075
0,1,0,0,0,1,0,0,0,0,1,0,1,0,75.84,2,0,29.5776,99339.6,112068,46.2624,23.1312,14.7888,0.39
0,0,0,1,1,0,0,0,0,0,1,0,1,0,166.44,3,0,79.8912,99339.6,112068,86.5488,28.8496,26.6304,0.48
1,0,0,0,0,0,1,0,0,0,1,1,0,0,599.165,5,0.15,35.245,99339.6,112068,563.92,112.784,7.049,0.058823529
1,0,0,0,1,0,0,0,0,0,1,0,1,0,61.96,2,0,27.882,99339.6,112068,34.078,17.039,13.941,0.45
0,1,0,0,1,0,0,0,0,0,1,1,0,0,638.288,7,0.2,-31.9144,99339.6,112068,670.2024,95.7432,-4.5592,-0.05
0,1,0,0,1,0,0,0,0,0,1,0,1,0,13.208,1,0.2,4.6228,99339.6,112068,8.5852,8.5852,4.6228,0.35
0,1,0,0,1,0,0,0,0,0,1,0,0,1,57.568,4,0.2,5.7568,99339.6,112068,51.8112,12.9528,1.4392,0.1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,99.87,3,0,23.9688,99339.6,112068,75.9012,25.3004,7.9896,0.24
0,1,0,0,0,1,0,0,0,0,1,1,0,0,6.28,1,0,2.6376,99339.6,112068,3.6424,3.6424,2.6376,0.42
0,1,0,0,0,1,0,0,0,0,1,0,0,1,95.1,5,0,30.432,99339.6,112068,64.668,12.9336,6.0864,0.32
0,1,0,0,0,1,0,0,0,0,1,0,1,0,25.92,4,0,12.4416,99339.6,112068,13.4784,3.3696,3.1104,0.48
0,1,0,0,0,1,0,0,0,0,1,0,1,0,48.84,4,0,13.1868,99339.6,112068,35.6532,8.9133,3.2967,0.27
0,1,0,0,0,0,1,0,0,0,1,1,0,0,15.24,3,0,5.1816,99339.6,112068,10.0584,3.3528,1.7272,0.34
0,1,0,0,0,1,0,0,0,0,1,0,0,1,44.75,5,0,8.5025,99339.6,112068,36.2475,7.2495,1.7005,0.19
0,1,0,0,0,1,0,0,0,0,1,0,1,0,11.96,2,0,5.382,99339.6,112068,6.578,3.289,2.691,0.45
0,1,0,0,0,1,0,0,0,0,1,0,1,0,3.912,1,0.2,1.2714,99339.6,112068,2.6406,2.6406,1.2714,0.325
0,0,0,1,0,0,1,0,0,0,1,0,1,0,13.36,2,0,6.4128,99339.6,112068,6.9472,3.4736,3.2064,0.48
0,0,0,1,0,0,1,0,0,0,1,0,1,0,158.9,5,0,7.945,99339.6,112068,150.955,30.191,1.589,0.05
0,1,0,0,1,0,0,0,0,0,1,0,1,0,168.1,5,0,43.706,99339.6,112068,124.394,24.8788,8.7412,0.26
0,1,0,0,0,1,0,0,0,0,1,0,1,0,32.04,4,0,14.418,99339.6,112068,17.622,4.4055,3.6045,0.45
0,1,0,0,1,0,0,0,0,0,1,0,1,0,154.9,5,0,69.705,99339.6,112068,85.195,17.039,13.941,0.45
0,1,0,0,0,0,1,0,0,0,1,0,1,0,21.4,5,0,6.206,99339.6,112068,15.194,3.0388,1.2412,0.29
0,1,0,0,0,0,1,0,0,0,1,0,1,0,12.6,2,0,5.796,99339.6,112068,6.804,3.402,2.898,0.46
0,1,0,0,1,0,0,0,0,0,1,1,0,0,59.99,7,0,21.5964,99339.6,112068,38.3936,5.4848,3.0852,0.36
0,0,1,0,1,0,0,0,0,0,1,0,1,0,19.44,3,0,9.3312,99339.6,112068,10.1088,3.3696,3.1104,0.48
0,0,1,0,1,0,0,0,0,0,1,1,0,0,194.352,3,0.2,-36.441,99339.6,112068,230.793,76.931,-12.147,-0.1875
0,0,1,0,1,0,0,0,0,0,1,0,1,0,36.624,3,0.2,13.734,99339.6,112068,22.89,7.63,4.578,0.375
1,0,0,0,1,0,0,0,0,0,1,0,1,0,6.08,2,0,2.0672,99339.6,112068,4.0128,2.0064,1.0336,0.34
1,0,0,0,1,0,0,0,0,0,1,0,0,1,164.792,1,0.2,18.5391,99339.6,112068,146.2529,146.2529,18.5391,0.1125
0,1,0,0,0,1,0,0,0,0,1,0,1,0,221.96,2,0,4.4392,99339.6,112068,217.5208,108.7604,2.2196,0.02
0,1,0,0,0,1,0,0,0,0,1,0,0,1,236,4,0,40.12,99339.6,112068,195.88,48.97,10.03,0.17
0,1,0,0,0,1,0,0,0,0,1,1,0,0,892.224,3,0.2,89.2224,99339.6,112068,803.0016,267.6672,29.7408,0.1
0,0,1,0,1,0,0,0,0,0,1,0,1,0,99.2,5,0,25.792,99339.6,112068,73.408,14.6816,5.1584,0.26
0,1,0,0,1,0,0,0,0,0,1,0,1,0,25.92,4,0,12.4416,99339.6,112068,13.4784,3.3696,3.1104,0.48
0,1,0,0,0,1,0,0,0,0,1,1,0,0,232.88,5,0.2,17.466,99339.6,112068,215.414,43.0828,3.4932,0.075
0,1,0,0,0,1,0,0,0,0,1,0,0,1,1649.95,5,0,659.98,99339.6,112068,989.97,197.994,131.996,0.4
0,1,0,0,0,1,0,0,0,0,1,1,0,0,362.352,3,0.2,45.294,99339.6,112068,317.058,105.686,15.098,0.125
0,0,1,0,1,0,0,0,0,0,1,0,1,0,61.44,3,0,16.5888,99339.6,112068,44.8512,14.9504,5.5296,0.27
0,1,0,0,0,1,0,0,0,0,1,0,1,0,105.52,4,0,48.5392,99339.6,112068,56.9808,14.2452,12.1348,0.46
0,1,0,0,1,0,0,0,0,0,1,0,1,0,19.98,2,0,8.991,99339.6,112068,10.989,5.4945,4.4955,0.45
0,0,0,1,0,1,0,0,0,0,1,0,1,0,39.68,2,0,10.3168,99339.6,112068,29.3632,14.6816,5.1584,0.26
0,0,0,1,1,0,0,0,0,0,1,0,1,0,17.12,4,0,7.704,99339.6,112068,9.416,2.354,1.926,0.45
1,0,0,0,0,1,0,0,0,0,1,0,1,0,231.72,2,0,11.586,99339.6,112068,220.134,110.067,5.793,0.05
1,0,0,0,0,1,0,0,0,0,1,0,1,0,17.9,5,0,8.95,99339.6,112068,8.95,1.79,1.79,0.5
1,0,0,0,0,1,0,0,0,0,1,0,1,0,12.48,2,0,5.616,99339.6,112068,6.864,3.432,2.808,0.45
0,0,0,1,0,1,0,0,0,0,1,0,1,0,276.28,2,0,0,99339.6,112068,276.28,138.14,0,0
0,1,0,0,0,0,1,0,0,0,1,0,1,0,22.05,7,0,10.584,99339.6,112068,11.466,1.638,1.512,0.48
0,1,0,0,0,0,1,0,0,0,1,0,1,0,99.9,5,0,46.953,99339.6,112068,52.947,10.5894,9.3906,0.47
0,1,0,0,1,0,0,0,0,0,1,1,0,0,94.68,9,0,31.2444,99339.6,112068,63.4356,7.0484,3.4716,0.33
0,1,0,0,1,0,0,0,0,0,1,0,1,0,23.67,3,0,0.9468,99339.6,112068,22.7232,7.5744,0.3156,0.04
0,1,0,0,1,0,0,0,0,0,1,0,0,1,1091.168,4,0.2,68.198,99339.6,112068,1022.97,255.7425,17.0495,0.0625
0,1,0,0,1,0,0,0,0,0,1,0,1,0,18.69,7,0,5.2332,99339.6,112068,13.4568,1.9224,0.7476,0.28
0,1,0,0,1,0,0,0,0,0,1,1,0,0,568.728,3,0.2,28.4364,99339.6,112068,540.2916,180.0972,9.4788,0.05
0,1,0,0,1,0,0,0,0,0,1,0,1,0,7.312,1,0.2,2.5592,99339.6,112068,4.7528,4.7528,2.5592,0.35
0,1,0,0,1,0,0,0,0,0,1,0,1,0,211.04,8,0,97.0784,99339.6,112068,113.9616,14.2452,12.1348,0.46
0,1,0,0,1,0,0,0,0,0,1,1,0,0,594.816,2,0.2,59.4816,99339.6,112068,535.3344,267.6672,29.7408,0.1
0,1,0,0,1,0,0,0,0,0,1,0,1,0,72.96,3,0.2,23.712,99339.6,112068,49.248,16.416,7.904,0.325
0,0,1,0,1,0,0,0,0,0,1,1,0,0,2803.92,5,0.2,0,99339.6,112068,2803.92,560.784,0,0
0,1,0,0,1,0,0,0,0,0,1,0,0,1,139.8,5,0.2,12.2325,99339.6,112068,127.5675,25.5135,2.4465,0.0875
0,1,0,0,1,0,0,0,0,1,0,1,0,0,957.5775,5,0.45,-383.031,41764.375,33827,1340.6085,268.1217,-76.6062,-0.4
0,1,0,0,1,0,0,0,0,1,0,0,1,0,22.368,2,0.2,2.5164,41764.375,33827,19.8516,9.9258,1.2582,0.1125
0,1,0,0,0,0,1,0,0,1,0,0,1,0,10.368,2,0.2,3.6288,41764.375,33827,6.7392,3.3696,1.8144,0.35
0,0,1,0,1,0,0,0,0,1,0,1,0,0,19.104,3,0.2,5.7312,41764.375,33827,13.3728,4.4576,1.9104,0.3
0,1,0,0,0,0,1,0,0,1,0,0,1,0,147.184,2,0.2,-29.4368,41764.375,33827,176.6208,88.3104,-14.7184,-0.2
0,1,0,0,0,0,1,0,0,1,0,0,0,1,41.424,2,0.2,8.2848,41764.375,33827,33.1392,16.5696,4.1424,0.2
0,0,0,1,1,0,0,0,0,1,0,0,1,0,7.764,4,0.7,-5.176,41764.375,33827,12.94,3.235,-1.294,-0.666666667
0,1,0,0,0,1,0,0,0,1,0,0,0,1,519.68,7,0.2,58.464,41764.375,33827,461.216,65.888,8.352,0.1125
0,0,0,1,0,1,0,0,0,1,0,0,1,0,1158.12,5,0.2,130.2885,41764.375,33827,1027.8315,205.5663,26.0577,0.1125
0,1,0,0,1,0,0,0,0,1,0,0,0,1,116.76,1,0.2,14.595,41764.375,33827,102.165,102.165,14.595,0.125
0,1,0,0,1,0,0,0,0,1,0,1,0,0,331.023,7,0.45,-114.3534,41764.375,33827,445.3764,63.6252,-16.3362,-0.345454545
0,1,0,0,0,0,1,0,0,1,0,0,0,1,799.92,10,0.2,239.976,41764.375,33827,559.944,55.9944,23.9976,0.3
0,1,0,0,1,0,0,0,0,1,0,1,0,0,723.92,5,0.2,-81.441,41764.375,33827,805.361,161.0722,-16.2882,-0.1125
0,1,0,0,0,0,1,0,0,1,0,1,0,0,45.568,2,0.2,9.6832,41764.375,33827,35.8848,17.9424,4.8416,0.2125
0,1,0,0,0,0,1,0,0,1,0,0,1,0,28.752,8,0.7,-21.0848,41764.375,33827,49.8368,6.2296,-2.6356,-0.733333333
0,1,0,0,1,0,0,0,0,0,1,1,0,0,48.86,7,0,14.1694,54316,38818,34.6906,4.9558,2.0242,0.29
0,1,0,0,1,0,0,0,0,0,1,0,1,0,7.28,4,0,1.9656,54316,38818,5.3144,1.3286,0.4914,0.27
0,1,0,0,1,0,0,0,0,0,1,0,0,1,907.152,6,0.2,90.7152,54316,38818,816.4368,136.0728,15.1192,0.1
0,1,0,0,1,0,0,0,0,0,1,0,1,0,18.504,3,0.2,5.7825,54316,38818,12.7215,4.2405,1.9275,0.3125
0,1,0,0,1,0,0,0,0,0,1,0,1,0,114.9,5,0,34.47,54316,38818,80.43,16.086,6.894,0.3
0,1,0,0,1,0,0,0,0,0,1,1,0,0,1706.184,9,0.2,85.3092,54316,38818,1620.8748,180.0972,9.4788,0.05
0,1,0,0,1,0,0,0,0,0,1,0,0,1,911.424,4,0.2,68.3568,54316,38818,843.0672,210.7668,17.0892,0.075
0,1,0,0,0,0,1,0,0,0,1,0,0,1,176.8,8,0,22.984,54316,38818,153.816,19.227,2.873,0.13
0,1,0,0,1,0,0,0,0,0,1,0,1,0,93.06,6,0,26.0568,54316,38818,67.0032,11.1672,4.3428,0.28
0,1,0,0,1,0,0,0,0,0,1,0,0,1,302.376,3,0.2,22.6782,54316,38818,279.6978,93.2326,7.5594,0.075
0,0,1,0,1,0,0,0,0,0,1,0,0,1,55.176,3,0.2,-12.4146,54316,38818,67.5906,22.5302,-4.1382,-0.225
0,0,1,0,1,0,0,0,0,0,1,0,0,1,66.26,2,0,27.1666,54316,38818,39.0934,19.5467,13.5833,0.41
0,1,0,0,1,0,0,0,0,0,1,1,0,0,47.94,3,0,2.397,54316,38818,45.543,15.181,0.799,0.05
0,1,0,0,1,0,0,0,0,0,1,0,1,0,20.04,3,0,9.6192,54316,38818,10.4208,3.4736,3.2064,0.48
0,1,0,0,1,0,0,0,0,0,1,0,1,0,64.96,2,0,2.5984,54316,38818,62.3616,31.1808,1.2992,0.04
0,1,0,0,1,0,0,0,0,0,1,0,1,0,12.96,2,0,6.2208,54316,38818,6.7392,3.3696,3.1104,0.48
0,1,0,0,0,1,0,0,0,0,1,0,1,0,38.88,6,0,18.6624,54316,38818,20.2176,3.3696,3.1104,0.48
0,1,0,0,0,1,0,0,0,0,1,1,0,0,183.84,8,0,62.5056,54316,38818,121.3344,15.1668,7.8132,0.34
